mode,ts,az,el,az_actual,el_actual,az_enc,az_tgt,az_err,el_enc,el_tgt,el_err,wind,wind_thr,wind_raw,wind_v,imu_pitch,imu_roll,imu_yaw,imu_ax,imu_ay,imu_az,imu_el_diff,imu_el_alert,imu_enc_az,imu_vs_enc,imu_gx,imu_gy,imu_gz,lat,lon,gps_valid,gps_sats,gps_hdop,gps_age,gps_chars,rtc_h,rtc_m,rtc_s,rtc_d,rtc_mo,rtc_y,day_start,day_end,prox_az,prox_el,el_full,ishome,is_homing,night_park,wind_park_az,wind_park_el,wind_cool,imu_alarm,imu_ok,synced,step_az,step_el,tc_temp,tc_cj,tc_ok,tc_fault,ds_temp,ds_ok,night_done,moving_home,nudge_cnt,az_home_miss,el_home_miss,el_nudge_cnt,,
5/20/2026 11:08,manual,60000,0,0,121.2,39.9,10190,10159,18,4788,4757,-29,0.4,12,744,1.521,-1.52,3.86,122.5,0.03,-0.033,1.099,4.2,0,123.6,1.4,-2.42,1.28,-3.26,18.52043,73.856743,1,5,0.7,116,37004,0,1,0,20,5,2026,1,6,18,0,0,1,0,1,1,1,1,1,0,1,1,77,44,241.6,11101,1,0,22,1,1,0,29,0,0,4
5/20/2026 11:09,auto,120000,0,0,120.2,41.8,10123,10120,-22,4684,4781,23,1.5,12,885,2.499,2.9,3.45,119.9,0.798,0.074,0.92,3.5,0,119.8,0.3,1.54,0.45,-1.88,18.52043,73.856743,1,7,0.95,162,33062,0,2,0,20,5,2026,1,6,18,1,0,0,0,1,0,0,1,0,1,1,1,71,85,236.6,11110,1,0,26.2,1,0,0,59,1,0,9
5/20/2026 11:10,manual,180000,0,0,113.7,37.9,10249,10226,36,4558,4504,-49,1.4,12,704,2.855,-4.01,2.8,112.4,0.343,-0.846,0.954,1.2,0,111.9,-0.9,-3.82,-3.77,1.81,18.52043,73.856743,1,10,1.07,120,46170,0,3,0,20,5,2026,1,6,18,0,0,1,1,1,1,0,0,1,1,1,1,67,29,231.3,10111,1,0,24.8,1,1,1,89,1,0,8
5/20/2026 11:11,manual,240000,0,0,114.9,41.6,10177,10132,10,4697,4771,36,0.9,12,671,4.473,4.73,1.95,113.6,0.516,-0.992,0.915,1.6,0,114.1,-0.4,-2.33,0.27,-1.46,18.52043,73.856743,1,11,1.34,264,30489,0,4,0,20,5,2026,1,6,18,0,0,0,0,1,1,1,0,1,0,1,1,79,59,226.6,100111,1,0,25.9,1,1,0,119,1,1,5
5/20/2026 11:12,auto,300000,0,0,118.1,43.7,10172,10030,-98,4690,4665,11,1.4,12,832,2.515,-5,0.96,117.2,0.593,0.105,1.015,3.3,1,116,-0.3,0.25,2.88,-2.98,18.52043,73.856743,1,9,1.66,176,14403,0,5,0,20,5,2026,1,6,18,1,1,1,0,1,0,0,1,0,1,1,1,5,25,224.6,10101,1,0,26.6,1,0,0,149,1,1,5
5/20/2026 11:13,manual,360000,0,0,115.5,39.5,10063,9950,-23,4867,4950,1,0,12,607,2.152,4.79,-0.09,115.6,-0.075,-0.927,0.977,0.5,0,113.7,-0.9,-0.73,1.35,4.21,18.52043,73.856743,1,7,1.52,154,38620,0,6,0,20,5,2026,1,6,18,1,1,1,0,0,0,1,1,0,1,1,1,5,1,229.5,11000,1,0,24.7,1,1,1,179,0,0,1
5/20/2026 11:14,manual,420000,0,0,112.2,39.4,10027,9980,31,4872,4785,-13,1,12,659,3.755,-4.13,-1.13,111.2,0.079,0.631,1.016,4.8,0,113.4,-0.9,-4.67,-4.27,-3.96,18.52043,73.856743,1,8,1.64,114,14480,0,7,0,20,5,2026,1,6,18,1,0,1,1,1,0,1,0,0,1,1,1,17,26,237.9,100101,1,0,26.8,1,0,0,209,0,0,9
5/20/2026 11:15,manual,480000,0,0,111.6,43.8,10274,10413,-97,4817,4769,26,6.5,12,757,4.724,3.08,-2.1,111.9,-0.369,-0.433,0.929,1.9,1,111.3,1.9,-2.12,-2.66,-3.64,18.52043,73.856743,1,8,1.71,178,24691,0,8,0,20,5,2026,1,6,18,1,0,1,1,0,0,0,1,0,1,1,1,31,68,244.2,100110,1,0,26.3,1,1,0,239,1,1,0
5/20/2026 11:16,auto,540000,0,0,129.9,44.1,10253,10360,-61,5016,5024,-42,5.3,12,839,2.013,-1.73,-2.92,128.6,0.506,0.566,0.99,1.6,0,129.4,0.3,0.31,0.64,-0.27,18.52043,73.856743,1,12,1.77,254,35369,0,9,0,20,5,2026,1,6,18,0,1,0,1,0,1,1,0,1,0,1,1,64,35,241,11110,1,0,23.8,1,0,1,269,1,1,6
5/20/2026 11:17,manual,600000,0,0,136.1,47.3,10119,10188,-74,4899,4882,35,6.8,12,714,4.511,0.22,-3.54,133.9,-0.466,0.655,1.058,1.7,0,133,-0.7,2.14,0.95,0.07,18.52043,73.856743,1,9,0.92,268,34996,0,10,0,20,5,2026,1,6,18,0,0,0,1,0,0,1,1,1,0,1,1,2,24,240.7,100110,1,0,23.7,1,0,1,299,0,1,6
